p80,p81,p82,p83
15064.211,1726.3158,586.3158,395.78946
15915.789,1823.1578,620,417.89474
16297.895,1867.3684,634.7368,427.3684
16332.632,1871.579,635.7895,428.42105
16381.053,1876.8422,637.8947,429.4737
16151.579,1850.5264,629.4737,424.21054
15943.158,1826.3158,621.0526,418.94736
15794.737,1809.4736,614.7368,414.73685
15481.053,1773.6842,603.1579,406.3158
15049.474,1724.2106,586.3158,394.73685
14762.105,1691.579,574.7368,387.3684
14644.211,1677.8948,570.5263,384.21054
14565.263,1668.421,567.3684,382.10526
15115.789,1731.579,588.4211,396.8421
15608.421,1788.421,608.4211,409.4737
15400,1764.2106,600,404.21054
14589.474,1671.579,568.4211,383.1579
13636.842,1562.1052,531.5789,357.89474
12944.211,1483.1578,504.21054,340
12465.263,1428.421,485.26315,327.3684
12309.474,1410.5264,480,323.1579
12232.632,1401.0526,476.8421,321.05264
12443.158,1425.2632,484.21054,326.3158
13258.947,1518.9474,516.8421,348.42105
14506.315,1662.1052,565.2632,381.05264
15333.685,1756.8422,596.8421,402.10526
15769.474,1807.3684,614.7368,413.6842
15726.315,1802.1052,612.6316,412.6316
15636.842,1791.579,609.4737,410.5263
15382.105,1762.1052,598.9474,404.21054
15082.105,1728.421,587.3684,395.78946
14933.685,1710.5264,582.1053,391.57895
14703.158,1684.2106,572.6316,386.3158
14461.053,1656.8422,563.1579,380
14283.158,1636.8422,556.8421,374.73685
14128.421,1618.9474,550.5263,370.5263
14009.474,1605.2632,545.2632,367.3684
14480,1658.9474,564.2105,380
14957.895,1713.6842,583.1579,392.6316
14818.947,1697.8948,576.8421,388.42105
14001.053,1604.2106,545.2632,367.3684
13008.421,1490.5264,506.3158,341.05264
12356.842,1415.7894,481.05264,324.21054
11921.053,1366.3158,464.21054,312.6316
11728.421,1344.2106,456.8421,307.3684
11605.263,1329.4736,451.57895,304.21054
11893.685,1363.1578,463.1579,312.6316
12752.632,1461.0526,496.8421,334.73685
13914.737,1593.6842,542.1053,365.26315
14835.789,1700,577.8947,389.4737
15266.315,1749.4736,594.7368,401.05264
15304.211,1753.6842,595.7895,402.10526
15217.895,1743.1578,592.6316,398.94736
15013.685,1720,585.2632,393.6842
14815.789,1697.8948,576.8421,388.42105
14677.895,1682.1052,571.5789,385.26315
14430.526,1653.6842,562.1053,378.94736
14229.474,1630.5264,554.7368,373.6842
13943.158,1597.8948,543.1579,366.3158
13751.579,1575.7894,535.7895,361.05264
13801.053,1581.0526,537.8947,362.10526
14357.895,1645.2632,558.9474,376.8421
14732.632,1688.421,573.6842,386.3158
14450.526,1655.7894,563.1579,378.94736
13654.737,1564.2106,531.5789,357.89474
12632.632,1447.3684,492.6316,331.57895
11896.842,1363.1578,463.1579,312.6316
11421.053,1308.421,445.26315,300
11069.474,1268.421,431.57895,290.5263
11029.474,1264.2106,429.4737,289.4737
11172.632,1280,434.73685,293.6842
11751.579,1346.3158,457.89474,308.42105
12531.579,1435.7894,488.42105,328.42105
13278.947,1521.0526,516.8421,348.42105
13845.263,1586.3158,538.9474,363.1579
14238.947,1631.579,554.7368,373.6842
14437.895,1654.7368,562.1053,378.94736
14357.895,1645.2632,558.9474,376.8421
14160,1622.1052,551.5789,371.57895
13936.842,1596.8422,543.1579,365.26315
13840,1585.2632,538.9474,363.1579
13562.105,1553.6842,528.4211,355.78946
13480,1544.2106,525.2632,353.6842
13450.526,1541.0526,524.2105,352.6316
13362.105,1530.5264,520,350.5263
13861.053,1588.421,540,364.21054
14311.579,1640,557.8947,375.78946
14184.211,1625.2632,552.6316,372.6316
13588.421,1556.8422,529.4737,356.8421
12713.685,1456.8422,494.73685,333.6842
12029.474,1377.8948,468.42105,315.78946
11534.737,1322.1052,449.4737,303.1579
11191.579,1282.1052,435.78946,293.6842
11075.789,1269.4736,431.57895,290.5263
11170.526,1280,434.73685,293.6842
11403.158,1306.3158,444.21054,298.94736
11713.685,1342.1052,455.78946,307.3684
12073.685,1383.1578,470.5263,316.8421
12590.526,1442.1052,490.5263,330.5263
12948.421,1483.1578,504.21054,340
13036.842,1493.6842,507.3684,342.10526
12933.685,1482.1052,504.21054,338.94736
12734.737,1458.9474,495.78946,334.73685
12363.158,1416.8422,482.10526,324.21054
12203.158,1397.8948,475.78946,320
12006.315,1375.7894,467.3684,314.73685
11953.685,1369.4736,465.26315,313.6842
11963.158,1370.5264,466.3158,313.6842
12061.053,1382.1052,469.4737,316.8421
12631.579,1447.3684,491.57895,331.57895
13289.474,1522.1052,517.8947,348.42105
13391.579,1534.7368,522.1053,351.57895
12980,1487.3684,505.26315,341.05264
12302.105,1409.4736,478.94736,323.1579
11749.474,1346.3158,457.89474,308.42105
11297.895,1294.7368,440,296.8421
11042.105,1265.2632,430.5263,289.4737
10994.737,1260,428.42105,288.42105
10986.315,1258.9474,428.42105,288.42105
11222.105,1285.2632,436.8421,294.73685
11302.105,1294.7368,440,296.8421
11535.789,1322.1052,449.4737,303.1579
11854.737,1357.8948,462.10526,311.57895
12057.895,1382.1052,469.4737,316.8421
12062.105,1382.1052,469.4737,316.8421
11995.789,1374.7368,467.3684,314.73685
11725.263,1343.1578,456.8421,307.3684
11520,1320,448.42105,302.10526
11322.105,1296.8422,441.05264,296.8421
11121.053,1274.7368,433.6842,291.57895
11060,1267.3684,430.5263,290.5263
11183.158,1281.0526,435.78946,293.6842
11475.789,1314.7368,447.3684,301.05264
12293.685,1408.421,478.94736,323.1579
12993.685,1488.421,506.3158,341.05264
12943.158,1483.1578,504.21054,340
12447.368,1426.3158,485.26315,326.3158
11775.789,1349.4736,458.94736,309.4737
11287.368,1293.6842,440,295.78946
10910.526,1250.5264,425.26315,286.3158
10776.842,1234.7368,420,283.1579
10798.947,1236.8422,421.05264,283.1579
11103.158,1271.579,432.6316,291.57895
11972.632,1371.579,466.3158,314.73685
13358.947,1530.5264,520,350.5263
14551.579,1667.3684,566.3158,382.10526
15375.789,1761.0526,598.9474,403.1579
15916.842,1823.1578,620,417.89474
16278.947,1865.2632,633.6842,427.3684
16289.474,1866.3158,634.7368,427.3684
16208.421,1856.8422,631.5789,425.26315
16200,1855.7894,631.5789,425.26315
15953.685,1827.3684,621.0526,418.94736
15761.053,1805.2632,613.6842,413.6842
15556.842,1782.1052,606.3158,408.42105
15518.947,1777.8948,604.2105,407.3684
15549.474,1781.0526,605.2632,408.42105
15878.947,1818.9474,618.9474,416.8421
15825.263,1812.6316,616.8421,415.78946
15391.579,1763.1578,600,404.21054
14404.211,1650.5264,561.0526,377.89474
13351.579,1529.4736,520,350.5263
12607.368,1444.2106,491.57895,330.5263
12097.895,1386.3158,471.57895,317.89474
11804.211,1352.6316,460,309.4737
11727.368,1343.1578,456.8421,307.3684
11926.315,1366.3158,464.21054,312.6316
12742.105,1460,496.8421,334.73685
14104.211,1615.7894,549.4737,370.5263
15212.632,1743.1578,592.6316,398.94736
15760,1805.2632,613.6842,413.6842
16068.421,1841.0526,626.3158,422.10526
16168.421,1852.6316,629.4737,424.21054
16122.105,1847.3684,628.4211,423.1579
16030.526,1836.8422,624.2105,421.05264
15925.263,1824.2106,620,417.89474
15743.158,1803.1578,613.6842,413.6842
15488.421,1774.7368,603.1579,406.3158
15294.737,1752.6316,595.7895,401.05264
15188.421,1740,591.5789,398.94736
15164.211,1736.8422,590.5263,397.89474
15476.842,1772.6316,603.1579,406.3158
15781.053,1808.421,614.7368,413.6842
15375.789,1762.1052,598.9474,403.1579
14450.526,1655.7894,563.1579,378.94736
13425.263,1537.8948,523.1579,352.6316
12696.842,1454.7368,494.73685,333.6842
12226.315,1401.0526,475.78946,321.05264
11917.895,1365.2632,464.21054,312.6316
11789.474,1350.5264,458.94736,309.4737
11976.842,1372.6316,466.3158,314.73685
12778.947,1464.2106,497.89474,335.78946
13968.421,1600,544.2105,366.3158
14982.105,1716.8422,583.1579,393.6842
15511.579,1776.8422,604.2105,407.3684
15609.474,1788.421,608.4211,409.4737
15710.526,1800,611.5789,412.6316
15535.789,1780,605.2632,407.3684
15323.158,1755.7894,596.8421,402.10526
15144.211,1734.7368,589.4737,397.89474
14906.315,1707.3684,581.0526,391.57895
14653.685,1678.9474,570.5263,384.21054
14366.315,1646.3158,560,376.8421
14234.737,1630.5264,554.7368,373.6842
14089.474,1614.7368,548.4211,369.4737
14460,1656.8422,563.1579,380
14978.947,1715.7894,583.1579,392.6316
14855.789,1702.1052,578.9474,389.4737
13936.842,1596.8422,543.1579,365.26315
13033.685,1493.6842,507.3684,342.10526
12223.158,1400,475.78946,321.05264
11829.474,1355.7894,461.05264,310.5263
11567.368,1325.2632,450.5263,303.1579
11513.685,1318.9474,448.42105,302.10526
11770.526,1348.421,458.94736,308.42105
12554.737,1437.8948,489.4737,329.4737
13607.368,1558.9474,530.5263,356.8421
14632.632,1676.8422,570.5263,384.21054
15046.315,1724.2106,586.3158,394.73685
15129.474,1733.6842,589.4737,396.8421
15208.421,1742.1052,592.6316,398.94736
15018.947,1721.0526,585.2632,393.6842
14951.579,1712.6316,582.1053,392.6316
14827.368,1698.9474,577.8947,389.4737
14618.947,1674.7368,569.4737,384.21054
14440,1654.7368,562.1053,378.94736
14157.895,1622.1052,551.5789,371.57895
13988.421,1603.1578,545.2632,367.3684
13714.737,1571.579,534.7368,360
14082.105,1613.6842,548.4211,369.4737
14616.842,1674.7368,569.4737,383.1579
14451.579,1655.7894,563.1579,378.94736
13638.947,1563.1578,531.5789,357.89474
12633.685,1447.3684,492.6316,331.57895
11906.315,1364.2106,464.21054,312.6316
11410.526,1307.3684,444.21054,298.94736
11194.737,1282.1052,435.78946,293.6842
11112.632,1273.6842,432.6316,291.57895
11435.789,1310.5264,445.26315,300
12057.895,1381.0526,469.4737,316.8421
13182.105,1510.5264,513.6842,346.3158
14033.685,1607.3684,546.3158,368.42105
14506.315,1662.1052,565.2632,381.05264
14695.789,1684.2106,572.6316,385.26315
14802.105,1695.7894,576.8421,388.42105
14662.105,1680,571.5789,385.26315
14553.685,1667.3684,567.3684,382.10526
14526.315,1664.2106,566.3158,381.05264
14353.685,1644.2106,558.9474,376.8421
14140,1620,550.5263,371.57895
13974.737,1601.0526,544.2105,366.3158
13613.685,1560,530.5263,356.8421
13418.947,1537.8948,523.1579,352.6316
13570.526,1554.7368,528.4211,355.78946
13964.211,1600,544.2105,366.3158
13890.526,1591.579,541.0526,364.21054
13156.842,1507.3684,512.6316,345.26315
12228.421,1401.0526,476.8421,321.05264
11417.895,1308.421,445.26315,300
10924.211,1251.579,425.26315,286.3158
10422.105,1193.6842,406.3158,273.6842
10322.105,1182.1052,402.10526,270.5263
10243.158,1173.6842,398.94736,268.42105
10470.526,1200,407.3684,274.73685
10684.211,1224.2106,415.78946,280
11160,1278.9474,434.73685,292.6316
11760,1347.3684,457.89474,308.42105
12173.685,1394.7368,474.73685,320
12497.895,1431.579,487.3684,328.42105
12567.368,1440,489.4737,329.4737
12520,1434.7368,487.3684,328.42105
12362.105,1416.8422,481.05264,324.21054
12225.263,1401.0526,475.78946,321.05264
12167.368,1393.6842,473.6842,318.94736
12068.421,1383.1578,470.5263,316.8421
12212.632,1398.9474,475.78946,321.05264
12318.947,1411.579,480,323.1579
12629.474,1447.3684,491.57895,331.57895
12956.842,1484.2106,504.21054,340
12856.842,1472.6316,501.05264,337.89474
12273.685,1406.3158,477.89474,322.10526
11537.895,1322.1052,449.4737,303.1579
10883.158,1247.3684,424.21054,285.26315
10360,1187.3684,403.1579,271.57895
10031.579,1149.4736,390.5263,263.1579
9741.053,1115.7894,378.94736,255.78947
9748.421,1116.8422,380,255.78947
9811.579,1124.2106,382.10526,257.89474
9996.842,1145.2632,389.4737,262.10526
10257.895,1175.7894,400,269.4737
10793.685,1236.8422,420,283.1579
11447.368,1311.579,446.3158,300
11889.474,1362.1052,463.1579,311.57895
11958.947,1370.5264,466.3158,313.6842
12223.158,1401.0526,475.78946,321.05264
12291.579,1408.421,478.94736,322.10526
12282.105,1407.3684,478.94736,322.10526
12332.632,1412.6316,480,323.1579
12421.053,1423.1578,484.21054,326.3158
12593.685,1443.1578,490.5263,330.5263
12918.947,1480,503.1579,338.94736
13221.053,1514.7368,514.7368,347.3684
13467.368,1543.1578,524.2105,353.6842
13285.263,1522.1052,517.8947,348.42105
12578.947,1441.0526,489.4737,330.5263
11823.158,1354.7368,461.05264,310.5263
11205.263,1284.2106,436.8421,293.6842
10841.053,1242.1052,422.10526,284.21054
10737.895,1230.5264,417.89474,282.10526
10714.737,1227.3684,417.89474,281.05264
10954.737,1254.7368,426.3158,287.3684
11694.737,1340,455.78946,307.3684
13101.053,1501.0526,510.5263,344.21054
14201.053,1627.3684,553.6842,372.6316
14951.579,1712.6316,582.1053,392.6316
15328.421,1755.7894,596.8421,402.10526
15434.737,1768.421,601.0526,405.26315
15412.632,1766.3158,600,404.21054
15260,1748.421,594.7368,400
15033.685,1722.1052,585.2632,394.73685
14874.737,1704.2106,578.9474,390.5263
14575.789,1670.5264,567.3684,382.10526
14508.421,1662.1052,565.2632,381.05264
14422.105,1652.6316,562.1053,378.94736
14380,1647.3684,560,377.89474
14865.263,1703.1578,578.9474,390.5263
15088.421,1728.421,587.3684,395.78946
14887.368,1705.2632,580,390.5263
14034.737,1608.421,546.3158,368.42105
12950.526,1484.2106,504.21054,340
12246.315,1403.1578,476.8421,321.05264
11805.263,1352.6316,460,309.4737
11517.895,1320,448.42105,302.10526
11443.158,1311.579,445.26315,300
11778.947,1349.4736,458.94736,309.4737
12483.158,1430.5264,486.3158,327.3684
13801.053,1581.0526,537.8947,362.10526
14883.158,1705.2632,580,390.5263
15450.526,1770.5264,602.1053,405.26315
15716.842,1801.0526,612.6316,412.6316
15914.737,1823.1578,620,417.89474
15802.105,1810.5264,615.7895,414.73685
15735.789,1803.1578,612.6316,412.6316
15662.105,1794.7368,610.5263,411.57895
15476.842,1772.6316,603.1579,406.3158
15233.685,1745.2632,593.6842,400
15125.263,1732.6316,589.4737,396.8421
15077.895,1727.3684,587.3684,395.78946
14949.474,1712.6316,582.1053,392.6316
15207.368,1742.1052,592.6316,398.94736
15540,1780,605.2632,407.3684
15324.211,1755.7894,596.8421,402.10526
14392.632,1649.4736,561.0526,377.89474
13315.789,1525.2632,518.9474,349.4737
12532.632,1435.7894,488.42105,328.42105
12026.315,1377.8948,468.42105,315.78946
11732.632,1344.2106,456.8421,308.42105
11709.474,1341.0526,455.78946,307.3684
11920,1365.2632,464.21054,312.6316
12685.263,1452.6316,493.6842,332.6316
13863.158,1588.421,540,364.21054
14687.368,1682.1052,572.6316,385.26315
15151.579,1735.7894,590.5263,397.89474
15087.368,1728.421,587.3684,395.78946
15106.315,1730.5264,588.4211,396.8421
15024.211,1721.0526,585.2632,394.73685
14890.526,1706.3158,580,390.5263
14857.895,1702.1052,578.9474,389.4737
14651.579,1678.9474,570.5263,384.21054
14498.947,1661.0526,565.2632,381.05264
14186.315,1625.2632,552.6316,372.6316
14030.526,1607.3684,546.3158,368.42105
13708.421,1570.5264,533.6842,360
14051.579,1609.4736,547.3684,368.42105
14667.368,1680,571.5789,385.26315
14618.947,1674.7368,569.4737,383.1579
13829.474,1584.2106,538.9474,363.1579
12661.053,1450.5264,493.6842,332.6316
12000,1374.7368,467.3684,314.73685
11541.053,1322.1052,449.4737,303.1579
11221.053,1285.2632,436.8421,294.73685
11111.579,1272.6316,432.6316,291.57895
11354.737,1301.0526,442.10526,297.89474
12091.579,1385.2632,470.5263,316.8421
13235.789,1515.7894,515.7895,347.3684
14243.158,1631.579,554.7368,373.6842
14757.895,1690.5264,574.7368,387.3684
14973.685,1715.7894,583.1579,392.6316
15060,1725.2632,586.3158,394.73685
14963.158,1714.7368,583.1579,392.6316
14848.421,1701.0526,577.8947,389.4737
14786.315,1693.6842,575.7895,388.42105
14650.526,1678.9474,570.5263,384.21054
14489.474,1660,564.2105,380
14262.105,1633.6842,555.7895,374.73685
14081.053,1613.6842,548.4211,369.4737
13922.105,1594.7368,542.1053,365.26315
14264.211,1634.7368,555.7895,374.73685
14744.211,1689.4736,574.7368,387.3684
14522.105,1664.2106,565.2632,381.05264
13604.211,1558.9474,529.4737,356.8421
12498.947,1432.6316,487.3684,328.42105
11654.737,1335.7894,453.6842,306.3158
11113.685,1273.6842,432.6316,291.57895
10712.632,1227.3684,416.8421,281.05264
10623.158,1216.8422,413.6842,278.94736
10724.211,1228.421,417.89474,281.05264
11344.211,1300,442.10526,297.89474
12346.315,1414.7368,481.05264,324.21054
13380,1532.6316,521.0526,351.57895
14104.211,1615.7894,549.4737,370.5263
14633.685,1676.8422,570.5263,384.21054
14954.737,1713.6842,582.1053,392.6316
15095.789,1729.4736,588.4211,395.78946
15212.632,1743.1578,592.6316,398.94736
15395.789,1764.2106,600,404.21054
15392.632,1763.1578,600,404.21054
15338.947,1756.8422,597.8947,402.10526
15084.211,1728.421,587.3684,395.78946
14794.737,1694.7368,576.8421,388.42105
14578.947,1670.5264,568.4211,383.1579
14524.211,1664.2106,565.2632,381.05264
14820,1697.8948,576.8421,389.4737
14684.211,1682.1052,571.5789,385.26315
13910.526,1593.6842,542.1053,365.26315
12828.421,1469.4736,500,336.8421
11971.579,1371.579,466.3158,313.6842
11375.789,1303.1578,443.1579,298.94736
10869.474,1245.2632,423.1579,285.26315
10543.158,1208.421,410.5263,276.8421
10485.263,1201.0526,408.42105,274.73685
10631.579,1217.8948,413.6842,278.94736
10744.211,1230.5264,418.94736,282.10526
11238.947,1287.3684,437.89474,294.73685
11985.263,1372.6316,467.3684,314.73685
12723.158,1457.8948,495.78946,333.6842
13173.685,1509.4736,513.6842,345.26315
13434.737,1538.9474,523.1579,352.6316
13515.789,1548.421,526.3158,354.73685
13437.895,1540,523.1579,352.6316
13364.211,1531.579,521.0526,350.5263
13276.842,1521.0526,516.8421,348.42105
13281.053,1522.1052,516.8421,348.42105
13215.789,1513.6842,514.7368,347.3684
13089.474,1500,509.4737,343.1579
13234.737,1515.7894,515.7895,347.3684
13416.842,1536.8422,523.1579,352.6316
13364.211,1531.579,521.0526,350.5263
12808.421,1467.3684,498.94736,335.78946
12074.737,1383.1578,470.5263,316.8421
11284.211,1292.6316,440,295.78946
10815.789,1238.9474,421.05264,284.21054
10447.368,1196.8422,407.3684,273.6842
10175.789,1166.3158,396.8421,267.3684
10006.315,1146.3158,389.4737,262.10526
10096.842,1156.8422,393.6842,265.26315
10194.737,1168.421,396.8421,267.3684
10308.421,1181.0526,401.05264,270.5263
10946.315,1253.6842,426.3158,287.3684
11661.053,1335.7894,454.73685,306.3158
12254.737,1404.2106,477.89474,322.10526
12563.158,1440,489.4737,329.4737
12705.263,1455.7894,494.73685,333.6842
12752.632,1461.0526,496.8421,334.73685
12847.368,1472.6316,500,336.8421
12855.789,1472.6316,501.05264,337.89474
13009.474,1490.5264,506.3158,341.05264
13120,1503.1578,511.57895,344.21054
13216.842,1514.7368,514.7368,347.3684
13550.526,1552.6316,527.3684,355.78946
13926.315,1595.7894,542.1053,365.26315
13851.579,1587.3684,540,363.1579
13120,1503.1578,511.57895,344.21054
12172.632,1394.7368,473.6842,320
11476.842,1314.7368,447.3684,301.05264
10958.947,1255.7894,427.3684,287.3684
10721.053,1228.421,417.89474,281.05264
10538.947,1207.3684,410.5263,276.8421
10724.211,1228.421,417.89474,281.05264
11306.315,1295.7894,440,296.8421
12547.368,1437.8948,488.42105,329.4737
13766.315,1576.8422,535.7895,361.05264
14655.789,1678.9474,570.5263,384.21054
15194.737,1741.0526,591.5789,398.94736
15609.474,1788.421,608.4211,409.4737
15676.842,1795.7894,610.5263,411.57895
15774.737,1807.3684,614.7368,413.6842
15803.158,1810.5264,615.7895,414.73685
15727.368,1802.1052,612.6316,412.6316
15570.526,1784.2106,606.3158,408.42105
15396.842,1764.2106,600,404.21054
15226.315,1744.2106,592.6316,400
15069.474,1726.3158,587.3684,395.78946
15441.053,1769.4736,601.0526,405.26315
15541.053,1780,605.2632,407.3684
15228.421,1745.2632,593.6842,400
14160,1622.1052,551.5789,371.57895
12884.211,1476.8422,502.10526,337.89474
11916.842,1365.2632,464.21054,312.6316
11237.895,1287.3684,437.89474,294.73685
10917.895,1250.5264,425.26315,286.3158
10721.053,1228.421,417.89474,281.05264
10932.632,1252.6316,426.3158,287.3684
11505.263,1317.8948,448.42105,302.10526
12737.895,1458.9474,495.78946,334.73685
13881.053,1590.5264,541.0526,364.21054
14641.053,1677.8948,570.5263,384.21054
15030.526,1722.1052,585.2632,394.73685
15114.737,1731.579,588.4211,396.8421
15038.947,1723.1578,586.3158,394.73685
14936.842,1711.579,582.1053,391.57895
14937.895,1711.579,582.1053,391.57895
14785.263,1693.6842,575.7895,388.42105
14569.474,1669.4736,567.3684,382.10526
14425.263,1652.6316,562.1053,378.94736
14394.737,1649.4736,561.0526,377.89474
14377.895,1647.3684,560,376.8421
14763.158,1691.579,574.7368,387.3684
15102.105,1730.5264,588.4211,396.8421
14785.263,1693.6842,575.7895,388.42105
13749.474,1575.7894,535.7895,361.05264
12644.211,1448.421,492.6316,331.57895
11871.579,1360,462.10526,311.57895
11283.158,1292.6316,440,295.78946
10928.421,1251.579,425.26315,286.3158
10851.579,1243.1578,423.1579,285.26315
10898.947,1248.421,424.21054,286.3158
11647.368,1334.7368,453.6842,305.26315
12815.789,1468.421,498.94736,336.8421
13936.842,1596.8422,543.1579,365.26315
14513.685,1663.1578,565.2632,381.05264
14876.842,1704.2106,580,390.5263
15044.211,1723.1578,586.3158,394.73685
15037.895,1723.1578,586.3158,394.73685
14974.737,1715.7894,583.1579,392.6316
14935.789,1711.579,582.1053,391.57895
14883.158,1705.2632,580,390.5263
14695.789,1684.2106,572.6316,385.26315
14592.632,1671.579,568.4211,383.1579
14504.211,1662.1052,565.2632,381.05264
14410.526,1651.579,561.0526,377.89474
14726.315,1687.3684,573.6842,386.3158
15014.737,1720,585.2632,393.6842
14736.842,1688.421,573.6842,386.3158
13834.737,1585.2632,538.9474,363.1579
12686.315,1453.6842,493.6842,332.6316
11830.526,1355.7894,461.05264,310.5263
11240,1288.421,437.89474,294.73685
10917.895,1250.5264,425.26315,286.3158
10744.211,1230.5264,418.94736,282.10526
10894.737,1248.421,424.21054,286.3158
11564.211,1325.2632,450.5263,303.1579
12811.579,1467.3684,498.94736,335.78946
13966.315,1600,544.2105,366.3158
14718.947,1686.3158,573.6842,386.3158
15173.685,1737.8948,591.5789,397.89474
15482.105,1773.6842,603.1579,406.3158
15477.895,1773.6842,603.1579,406.3158
15473.685,1772.6316,603.1579,406.3158
15442.105,1769.4736,601.0526,405.26315
15263.158,1748.421,594.7368,401.05264
15072.632,1727.3684,587.3684,395.78946
14874.737,1704.2106,578.9474,390.5263
14668.421,1681.0526,571.5789,385.26315
14436.842,1653.6842,562.1053,378.94736
14615.789,1674.7368,569.4737,383.1579
14997.895,1717.8948,584.2105,393.6842
14683.158,1682.1052,571.5789,385.26315
13816.842,1583.1578,537.8947,363.1579
12697.895,1454.7368,494.73685,333.6842
11807.368,1352.6316,460,309.4737
11249.474,1289.4736,437.89474,294.73685
10835.789,1241.0526,422.10526,284.21054
10666.315,1222.1052,415.78946,280
10754.737,1232.6316,418.94736,282.10526
11278.947,1292.6316,438.94736,295.78946
12396.842,1420,483.1579,325.26315
13506.315,1547.3684,526.3158,354.73685
14138.947,1620,550.5263,371.57895
14508.421,1662.1052,565.2632,381.05264
14729.474,1687.3684,573.6842,386.3158
14738.947,1688.421,573.6842,386.3158
14670.526,1681.0526,571.5789,385.26315
14574.737,1669.4736,567.3684,382.10526
14417.895,1651.579,562.1053,377.89474
14158.947,1622.1052,551.5789,371.57895
13975.789,1601.0526,544.2105,366.3158
13700,1569.4736,533.6842,360
13412.632,1536.8422,522.1053,351.57895
13469.474,1543.1578,524.2105,353.6842
13975.789,1601.0526,544.2105,366.3158
13867.368,1588.421,540,364.21054
13165.263,1508.421,512.6316,345.26315
12342.105,1413.6842,481.05264,324.21054
11448.421,1311.579,446.3158,300
10964.211,1255.7894,427.3684,287.3684
10563.158,1210.5264,411.57895,276.8421
10370.526,1188.421,404.21054,272.6316
10368.421,1188.421,404.21054,272.6316
10502.105,1203.1578,409.4737,275.78946
10636.842,1218.9474,414.73685,278.94736
11095.789,1271.579,432.6316,291.57895
11642.105,1333.6842,453.6842,305.26315
12138.947,1390.5264,472.6316,318.94736
12350.526,1414.7368,481.05264,324.21054
12468.421,1428.421,485.26315,327.3684
12384.211,1418.9474,482.10526,325.26315
12250.526,1403.1578,476.8421,321.05264
12046.315,1380,469.4737,315.78946
11972.632,1371.579,466.3158,314.73685
11898.947,1363.1578,463.1579,312.6316
11892.632,1362.1052,463.1579,312.6316
11896.842,1363.1578,463.1579,312.6316
12028.421,1377.8948,468.42105,315.78946
12732.632,1458.9474,495.78946,333.6842
12717.895,1456.8422,495.78946,333.6842
12244.211,1403.1578,476.8421,321.05264
11472.632,1314.7368,447.3684,301.05264
10856.842,1244.2106,423.1579,285.26315
10422.105,1193.6842,406.3158,273.6842
10104.211,1157.8948,393.6842,265.26315
9918.947,1136.8422,386.3158,260
9912.632,1135.7894,386.3158,260
9953.685,1140,387.3684,261.05264
9923.158,1136.8422,386.3158,260
10183.158,1166.3158,396.8421,267.3684
10691.579,1225.2632,416.8421,281.05264
11233.685,1287.3684,437.89474,294.73685
11523.158,1320,448.42105,302.10526
11727.368,1344.2106,456.8421,307.3684
11740,1345.2632,456.8421,308.42105
11807.368,1352.6316,460,309.4737
11729.474,1344.2106,456.8421,307.3684
11710.526,1342.1052,455.78946,307.3684
11829.474,1355.7894,461.05264,310.5263
11855.789,1357.8948,462.10526,311.57895
11944.211,1368.421,465.26315,313.6842
12245.263,1403.1578,476.8421,321.05264
12863.158,1473.6842,501.05264,337.89474
12834.737,1470.5264,500,336.8421
12198.947,1397.8948,474.73685,320
11374.737,1303.1578,443.1579,298.94736
10722.105,1228.421,417.89474,281.05264
10260,1175.7894,400,269.4737
10129.474,1161.0526,394.73685,266.3158
10098.947,1156.8422,393.6842,265.26315
10348.421,1185.2632,403.1579,271.57895
10969.474,1256.8422,427.3684,288.42105
12074.737,1383.1578,470.5263,316.8421
13295.789,1523.1578,517.8947,349.4737
14056.842,1610.5264,547.3684,368.42105
14489.474,1660,564.2105,380
14731.579,1687.3684,573.6842,386.3158
14869.474,1703.1578,578.9474,390.5263
14950.526,1712.6316,582.1053,392.6316
15029.474,1722.1052,585.2632,394.73685
14878.947,1704.2106,580,390.5263
14734.737,1688.421,573.6842,386.3158
14443.158,1654.7368,563.1579,378.94736
14186.315,1625.2632,552.6316,372.6316
13941.053,1597.8948,543.1579,366.3158
14022.105,1606.3158,546.3158,368.42105
14573.685,1669.4736,567.3684,382.10526
14387.368,1648.421,560,377.89474
13400,1535.7894,522.1053,351.57895
12323.158,1411.579,480,323.1579
11457.895,1312.6316,446.3158,301.05264
10852.632,1243.1578,423.1579,285.26315
10600,1214.7368,412.6316,277.89474
10432.632,1195.7894,406.3158,273.6842
10603.158,1214.7368,412.6316,277.89474
11198.947,1283.1578,435.78946,293.6842
12264.211,1405.2632,477.89474,322.10526
13349.474,1529.4736,520,350.5263
14165.263,1623.1578,551.5789,371.57895
14564.211,1668.421,567.3684,382.10526
14891.579,1706.3158,580,390.5263
15003.158,1718.9474,584.2105,393.6842
15011.579,1720,585.2632,393.6842
15135.789,1733.6842,589.4737,396.8421
15023.158,1721.0526,585.2632,394.73685
14900,1707.3684,580,391.57895
14637.895,1676.8422,570.5263,384.21054
14432.632,1653.6842,562.1053,378.94736
14107.368,1616.8422,549.4737,370.5263
14117.895,1617.8948,549.4737,370.5263
14589.474,1671.579,568.4211,383.1579
14473.685,1657.8948,564.2105,380
13576.842,1555.7894,528.4211,356.8421
12436.842,1425.2632,484.21054,326.3158
11565.263,1325.2632,450.5263,303.1579
