p80,p81,p82,p83
18101.053,2073.6843,705.2632,474.73685
18195.79,2085.2632,708.4211,477.89474
18722.105,2145.2632,729.4737,491.57895
19442.105,2227.3684,757.8947,510.5263
19647.37,2251.5789,765.2632,515.7895
19572.63,2243.158,762.1053,513.6842
19303.158,2211.5789,751.5789,506.3158
18668.422,2138.9473,727.3684,489.4737
17503.158,2005.2632,682.1053,458.94736
16508.422,1891.579,643.1579,433.6842
15823.158,1812.6316,616.8421,415.78946
15341.053,1757.8948,597.8947,403.1579
15153.685,1736.8422,590.5263,397.89474
15117.895,1732.6316,588.4211,396.8421
15386.315,1763.1578,598.9474,404.21054
16235.789,1860,632.6316,426.3158
17678.947,2025.2632,688.4211,464.21054
18778.947,2151.5789,731.5789,492.6316
19144.21,2193.6843,745.2632,502.10526
19037.895,2181.0527,742.1053,500
18923.158,2168.4211,736.8421,496.8421
18617.895,2133.6843,725.2632,488.42105
18369.475,2105.2632,715.7895,482.10526
18245.264,2090.5264,710.5263,478.94736
17955.79,2057.8948,698.9474,471.57895
17887.37,2049.4736,696.8421,469.4737
18330.525,2100,713.6842,481.05264
19292.63,2210.5264,751.5789,506.3158
19670.525,2253.6843,766.3158,515.7895
19638.947,2250.5264,765.2632,515.7895
19362.105,2218.9473,754.7368,508.42105
18708.422,2143.158,728.4211,490.5263
17720,2030.5264,690.5263,465.26315
16632.63,1906.3158,647.3684,436.8421
15876.842,1818.9474,618.9474,416.8421
15422.105,1767.3684,601.0526,405.26315
15122.105,1732.6316,589.4737,396.8421
14984.211,1716.8422,584.2105,393.6842
15141.053,1734.7368,589.4737,397.89474
15840,1814.7368,616.8421,415.78946
17230.525,1973.6842,671.5789,452.6316
18331.578,2100,713.6842,481.05264
18651.578,2136.842,726.3158,489.4737
18671.578,2138.9473,727.3684,490.5263
18586.316,2129.4736,724.2105,487.3684
18295.79,2096.842,712.6316,480
18015.79,2064.2104,702.1053,472.6316
17769.475,2035.7894,692.6316,466.3158
17446.316,1998.9474,680,457.89474
17309.475,1983.1578,674.7368,454.73685
17665.264,2024.2106,688.4211,463.1579
18288.422,2094.7368,712.6316,480
18410.525,2109.4736,716.8421,483.1579
18193.684,2084.2104,708.4211,477.89474
17798.947,2038.9474,693.6842,467.3684
17197.895,1970.5264,669.4737,451.57895
16366.315,1875.7894,637.8947,429.4737
15345.263,1757.8948,597.8947,403.1579
14658.947,1680,570.5263,384.21054
14000,1604.2106,545.2632,367.3684
13746.315,1574.7368,535.7895,361.05264
13472.632,1544.2106,525.2632,353.6842
13591.579,1556.8422,529.4737,356.8421
13857.895,1588.421,540,364.21054
14431.579,1653.6842,562.1053,378.94736
14840,1700,577.8947,389.4737
15416.842,1766.3158,601.0526,404.21054
15942.105,1826.3158,621.0526,417.89474
16276.842,1865.2632,633.6842,427.3684
16449.475,1885.2632,641.0526,431.57895
16426.316,1882.1052,640,431.57895
16248.421,1862.1052,632.6316,426.3158
16185.263,1854.7368,630.5263,425.26315
16081.053,1842.1052,626.3158,422.10526
16556.842,1896.8422,645.2632,434.73685
17383.158,1991.579,676.8421,455.78946
17745.264,2033.6842,691.5789,465.26315
17553.684,2011.579,684.2105,461.05264
17269.475,1978.9474,672.6316,453.6842
16848.422,1930.5264,656.8421,442.10526
16198.947,1855.7894,630.5263,425.26315
15418.947,1767.3684,601.0526,404.21054
14794.737,1695.7894,576.8421,388.42105
14313.685,1640,557.8947,375.78946
14034.737,1608.421,546.3158,368.42105
13954.737,1598.9474,543.1579,366.3158
13893.685,1591.579,541.0526,364.21054
14103.158,1615.7894,549.4737,370.5263
14450.526,1655.7894,563.1579,378.94736
14697.895,1684.2106,572.6316,385.26315
15161.053,1736.8422,590.5263,397.89474
15477.895,1773.6842,603.1579,406.3158
15687.368,1797.8948,611.5789,411.57895
15676.842,1796.8422,610.5263,411.57895
